id,text
09682,pals
09687,rare picture of child birth
09713,the hardest part of breaking up with her  is having to drop the bomb on her twice before she gets it
09715,i started a business that sells landmines disguised as prayer mats.. ..prophets are going through the roof
09716,weeeeee! im back home
09718,can you tag your friend tell them i found their baby pic
09723,half honky all donkey
09731,moses was the first to know of the 10 commandments
09738,i know you are wearing extensions
09756,daily activity log  i got this
09765,"in most countries, traitors are killed.  in america, they join the democrat party."
09768,what's black and screams? harvey price answering the iron
09781,hello brother wait is that a shotgun?
09785,searchinging for buried treasure
09814,you are not wanted! you are a mental deficient!
09821,the pic after saying  i didn't drink that much last night to your friends
09823,meanwhile..  back at #nevertrump command center
09824,mfw  the local tranny gets lynched
09827,the enemy within  linda sarsour  ocasio-cortez  ilhan omar  rashida tlaib  the enemy has infiltrated congress
09831,"when someone says ""show me in the bible where it says jesus command gays should be out to death?""  leviticus 20:13"
09834,"The text in the image says ""a muslim threesome."""
09841,"oh you drive a dodge, do you blow trannys as good as your truck"
09843,laughs in throwing gays from tall buildings!
09851,hm..  it appears you're a cracker
09852,"The text in the image reads:  ""all men should be disarmed preferably both arms"""
09863,diverse group of women
09867,we can kill as many as we want  and your stupid government keeps bringing us in
09875,i see dickheads everywhere  they don't even know they're dickheads
10234,when you've decided to start a life of crime
10236,"The text in the image reads:  ""immigrants wave our flag invaders wave their own"""
10238,"The text in the image reads:  ""african girl suffering from a face deformity"""
10246,when you ask your dad who is a retired drill sargent to build you a ginger bread house
10254,when you realize tomorrow is monday
10256,"and if anything happens, the women are to blame  that's right, it's their fault, definitely"
10258,lands plane successfully as planned everyone at the twin tower:
10259,they stole ma chickin  i stole their life
10263,"rep. dan crenshaw former navy seal decorated war hero  literally lost an eye ""doing something about terrorism""  rep. ocasio-cortez former bartender supports socialism  told dan crenshaw he should ""do something about terrorism"""
10264,when you eat her ass and then she say that she don't suck dick...  wayment
10268,The text in the image is:  bitch please go back to england
10269,when your human stops petting you
10274,(laughs in goat fucker)
10278,call of duty new zealand
10283,"well, it was tough getting this community up to standards but were alwhite now  shadowy place over there? but what's that  don't talk black  to me you little n ewborn african."
10285,you are what you eat meanwhile in africa
10287,found bigfoot married her
10289,when you're trying to keep eye contact  but her cleavage game is strong
10325,i will build a space force and make the martians pay for it believe me! bigly!
10328,how dikes look when they're in line paying for their pads
10329,mom.. this horse smells funny!
10345,"The text in the image reads:  ""images of german leaders and soldiers of WW2"""
10357,hockey would be fun they said
10358,why arent there any pharmacies in africa? because you cant take medicine on an empty stomach
10362,german british danish austrian diversity.  apparently we don't have it and these guys do: iraqi pakistani syrian egyptian
10372,i hate 3 things: vampires. werewolves and witches
10384,he is proving that grown adults can be a bully
10385,"The text in the image reads:  ""When he's Muslim and asks you to role play"""
10386,the book about terrorism
10389,"only in america could these people consider themselves the ""master race"""
10395,2+2 is potato minus 1 is poo quick math!
10396,once a place where innocents were murdered.  now a historical site for people to learn
10398,The text in the image is:  arabs arabs how could the jews do this to us
10423,nobody wants to hang auschwitz me
10436,sea monkeys
10453,all men are pigs  women are equal to men
10458,i love my precious they will always me mine
10459,I'm not racist I hate white liberals more than anybody
10462,back in my day there were only two genders male and not male
10463,"so, where did you get all of this gold elizabeth? i stole it from africa!!!"
10465,"The text in the image says ""happy 4th of july."""
10475,refugees welcome
10476,how to fix a noisy dishwasher
10478,house of pedophile
