id,text
74390,people still don't get it zionist jews for israel are racist monsters Our Race is our Nation Our Folk is our Faith
74391,there must be some way this victimizes me
74502,when petting cats...  be sure not to activate their murder button.
74508,i believe racism is just like black people  it shouldn't exist
74509,fun day at the pool!!
74513,you can hide but you can't run
74520,"The text in the image is:  - ""in other contries"" - ""in porkistan"""
74530,"The text in the image reads:  ""what's the difference between a Jew and a pizza? a pizza doesn't scream when you put it in the oven"""
74531,bodies being removed in wagons by german
74536,for guys that like it nice and slow  gimme a call
74562,this old ass honky is a porch monkey 4-life  you look at my woman step off johnny law
74563,when she finally has your own month
74583,"The text in the image reads:  ""babies aren't actually people"" ""jews aren't actually people"" ""it's not murder"" ""it's not murder"" i had an abortion"
74589,"The text in the image is:  ""When you use 'n'"" ""When you word for use 'n'"" ""Filipinos"""
74598,all these flavors  and you choose to be salty
74602,this is what happens when you don't spank your kids.
74608,"if you have on fake hair, fake eyebrows, fake eyelashes, and a lot of makeup on  then you're a tranny!!"
74609,"why do you hate us?  all we want to do ia move to your country, condemn your lifestyle, harass your women, destroy your freedom of speech and march through your streets calling for people to be beheaded"
74612,"i never get a straight answer for this """
74615,it's a weiner pit. just like your mouth.
74621,"""What kind of question is that? Of course I fuck goat. Next question…"""
74625,behind every screaming goat is a muslim with his pants down
74630,we pray for the destruction of Israel and the American way of life
74631,when each letter is a mental disorder
74650,"dear ""mrs.imtoogoodtoanswermydms""  this will be the last dick pic i ever send your ass. it's been 6 months and still no nudes, don't deserve it. know you got my last dick pic, i put the filter on it perfect"
74652,2 +2 is potato minus 1 is poo quick math!
74658,whoever photoshopped this is a huge jerk
74801,you're gay? that's a lifestyle choice..  ...by which i mean i hate you for being gay
74802,for gay pride month  i'd love to pump a gallon of my aids infected homo milk up your large intestine!
74805,"nice watch you got there david  thanks, my dad sold it to me before he passed"
74813,a little gas never killed anybody right?
74825,when your sister gives you some good information
74832,if your man dresses like this there no doubt he's cold
74839,"when you've waited 40 years to be king, but your mother refuses to die"
74861,i got back with my ex  box360
74862,him: the dishwasher is acting weird her: what's it doing? him: chopping fucking vegetables
74890,when the dishwasher isn't working properly and you have no tecnical knowledge whatsoever so you just decide to talk to it and hope it starts working  good luck
74892,largemouth bass  largemouthed ass
74901,there are many things i need to tell you
74906,"The text in the image reads:  - ""are you a boy or a girl"" - ""i'm non binary"""
74908,she is condemning shooting the gorilla
74913,"The text in the image says ""goin fishin."""
74915,"you think im cute? aww, get otter here"
74920,when you realize you're pregnant  because you pull out your tampon but all the cotton was mysteriously picked off
74923,"The text in the image reads:  ""white power"" ""black power"""
74930,i hate racism. why would you choose to hate an entire group of people just becase of the way they all behave
74951,volkswagen cars produce more gaz than expected  ach!! thats my car
74953,the cowboys are the best!  i mean the best!
74956,show me an american ghetto and i'll show you a place where democrats are in power  MYTHS FACTS
74963,this chicken is so rubbery  goodyear called and asked for the recipe!
74965,"The text in the image is:  - ""some people"" - ""some other people"""
74968,i like to hit on women with black kids because i can guarantee they're single
75016,when you're a hard hitter
75018,when your history teacher starts talking about the holocaust
75021,where's jaws when you need him?
75023,"shoot boy, i ain't racist  i've got four black tires and a color tv"
75026,together we are stronger
75031,it's a weiner pit. just like your mouth.
75036,white kids be like i can't watch this
75039,rape helping them have sex for generations
75041,"to all my friends who post controversial, obscene, dirty, offensive, derogatory posts...  keep that shit up. i like it."
75046,"the bigger the head, the smarter you are"
75063,morgan freeman has been old my entire life. 2000  2017
75068,they did not even leave dogs
75081,myth: gingers don't have souls  fact: gingers earn a freckle for every soul they steal
75082,in order for the black man to live the negro has got to die  death to the negro
75086,the i don't listen well barbie. comes with the stove she should've been using
75089,just so we're clear at the same time democrats are refusing to secure our border they introduce legislation to disarm law abiding citizens  are you trying to start a civil war? because that's how you start a civil war
75092,lesbian trans woman? ain't that just a regualr guy?
75096,i'm not saying you're retarded  but you're retarded
75098,mixed vegetables
75102,whose dick do  i have to suck to get these charges dropped?
75104,i want to make a lamp shade from your skin because you light up my life
75106,when you find someone with the same taste in memes
75123,a little driving music makes my day
75130,commander! our transgender battalion needs reinforcements!
75132,"the wife said we needed a new coffee maker, so i got one.  the name is mr. coffee, the wife was amused"
