id,text
49750,"if you think you are hungry, you might just be thirsty  have a beer first and then see how you feel, after!"
49752,here's to all my friends who never post about politics or religion
49758,when your uber driver arrives but you're probably safer driving drunk
49762,"there are 350,000 churches in america  so why are there 200,000  people sleeping on the streets"
49785,when you feel mentally unwell seek help
49786,"The text in the image is:  ""black lives matter "" """
49802,"The text in the image is:  ""fuck, my mom is gonna kill me"" ""fuck, my mom is gonna kill me"""
49805,imagine being so disgusting there have to be laws to try to stop normal people from hating you
49806,a group of men
49807,"i put the ""ape"" in rape"
49810,embrace the freedom of speech
49826,white people on cinco de mayo  vs. every other day
49831,happy birthday  you dirty cocksucker
49832,oh god!.... when will this white fuckers understand this is not their country
49836,that face you make  when 17 of your schoolmates have been shot dead and you're about to go on tv
49850,flight attendant: *yawns* deaf passengers:
49856,black people anything that doesn't belong to them
49861,ready for the cupcake?  wake up and smell the bacon! we're loosing our beloved america to these goat humpers stop being afraid of being called a racist and grow a pair and act like americans.
49863,The text in the image is:  - calling white people racist - is racism
49867,when your dishwasher breaks so you give it a kick to make it work again  my kids watching me beat my wife:
49870,love comes in all shapes and sizes
50124,"i think i've got a gas leak. i woke up this morning feeling all light headed and dizzy so just to be on the safe side.  i asked the neighbours if they could come suss it out for me. i figured they'd know, being jewish and all."
50126,"im jared, and fuck tyrone  im here to fuck his kids, footlong style"
50129,The text in the image is:  - partial - arts
50137,when you see your goat with another man
50142,2017  the year of the triggered left
50146,her back must hurt
50148,"don't think that food is expendable, not everyone gets it"
50149,ever read something so stupid  it gives you forest whitaker eye
50162,"roses are black, violets are black everything is black, i can't see"
50163,this muslim guy is walking his goats
50167,"when i interview for a job:  do we get our resumes back or do you keep them? because i only have the one, and i have a chili recipe on the back that i really wanna keep."
50176,"The text in the image is:  ""how do you get a jewish girls number? roll up her sleeve"""
50184,how we see muslims  how muslims see us
50186,don't be a fool it is a bomb
50187,"The text in the image reads:  ""CALL OF DUTY GHOSTS call of duty mosque edition"""
50193,anyone who has seen a hippo yawn will have some idea how kim kardashiaains gynecologist feels
50198,you don't need cocaine to be happy
50236,"The text in the image is:  ""goat fucker's only.com"""
50237,cannibalism
50239,"everywhere: eats out africa: ""we don't do that here"""
50241,"bitches be like no weave, no makeup, no lashes, no eyebrows"
50246,my new boyfriend has dandruff  you should give him  head and shoulders  how do you give  shoulders?
50248,"long story short  askies, age restriction okay?"
50261,haters will say it's photoshop
50263,"i'm not racist, racism is a crime and crime is for them"
50271,that look you give when dressed to the t
50273,"""where did you learn to make kool-aid like that britney?"""
50278,"""women have the will of an adult but have the mind of a child."""
50286,"The text in the image is:  - ""in norway"" - ""we rape"" - ""after dinner"""
50289,donaldtrump 2020  breaking: rep. ilhan Omar broke federal tax law  she filed her taxes jointly with a man to whom she was not legally married.
50293,The text in the image reads:  - aids - gays - it really be like that
50312,i normally rape goats. but little boys are okay
50317,what in the hell is wrong with america  voting towel heads into congress
50327,"The text in the image reads:  ""whats th difference between dollars and jews? i'd give a fuck if i lost 6 million dollars"""
50328,los angeles has ice cube  new york has nas detroit has eminem  your city has?
50341,when this happened at home  i had no one i could tell
50346,"what is he hiding?  we need to see his tax returns! let me stop you right there hillary  you deleted 30,000 emails, used bleach bit on hard drives then destroyed phones with hammers you have no right to talk about people hiding anything  truth uncensored"
50348,"The text in the image is:  - ""asians be like"" - ""switchinging to fullscreen mode"""
50361,they call me a goat because  i am the greatest of all time
50368,the only family to make millions  off of a t.v show
50371,multiculturalism increases our unity and we are stronger together
50372,he said he a lil' bad ass so i hate this tendies in front of him
50379,do you know how to turn your dishwasher into a snowblower? throw em a shovel
50386,"i realized i have a road rage problem when my kid started yelling:  ""pick a lane asshole!""  while in my grocery cart"
50397,all muslims are terrori but all terrorists are muslim
50398,this fish is so raw  it's still trying to find nemo
50413,i was going to paint my bathroom door  but my girlfriend was dead against it
50427,that look when you wanna cut a bitch  but you remember your a changed man
50428,being a boy in the 90's  being a boy in 2018...
50438,what it looks like  when cancer gets aids
50461,say cheese! photobomb
50462,can you see the difference?
50467,ever hear something so stupid  it gives you forest whitaker eye
50471,"spanish word of the day ""texas""  my fren always texas me when i'm not home wonderinging where i'm at!"
50472,made rice krispies way before kellogs
50473,"if you think the crakkka of today is different from the crakka 500 years ago, you're a damn fool"
50482,when your dishwasher is broken  so you take it back to walmart to get a new one
50483,how many guns are in there?
50486,why do i bother pressing one for english?  i still get someone who can't speak it!!
50487,celebreated 4/20 on january 5th  because i know how to reduce fractions.
50489,the face you make after you just finished your morning
50491,i only wear silk panties cotton ones remind me of slavery
50492,"you mad? yeah, you're mad"
50614,clint eastwood and a monkey
50617,mom? i'm pregnant!!
50619,a moment before threesome:-
50624,"The text in the image is:  - ""meanwhile"" - ""at the isis strip club"""
50643,things i love to hunt
50649,nothing taste better than a well done steak with ketchup. change my mind.
50674,that one time  when joe biden kept his hands to himself
50679,when ur too young to know the concept of racism but ur happy cause u got a new pet
50682,the stupid is strong in this one
50683,you're one ugly motherfucker
50684,"been around for 50,000 years  invented the stick"
50689,when you're shooting up the school and the cops shoot the black kid that's running away
50723,i will lie. i will sleep with anyone. i will attack sexual perverts like joe biden in my own party to get ahead! i will let illegals murder americans. i will let newborns be comfortable and executed i want to be your president!
50732,behead atheists kill kill kill!  saria law buslims in buslim countries  let's have some respect religion of peace brother  buslims where they are a minority
50734,"yes... i'm 1/2 goat, on my mother's side"
50738,"white kids be like  i'm killing everybody, watch"
50739,"The text in the image reads:  ""what's the difference between the scout comes back from the camp"""
50741,lol i missed my period last week
50743,holy shit look at the gas bill
