id,text
59718,"The text in the image says ""never again."""
59726,"The text in the image is:  ""hello satan... they are mocking islam!"""
59731,"August, 1945: the last words of the co-pilot moments before he would unleash total destruction on Hiroshima  I hope these rice people like mushrooms!"
59732,in my country i am forced to keep my mouth shut.  here i'm free to talk trash about this country in hopes it changes into a country where i'm forced to keep my mouth shut
59738,"The text in the image reads:  ""what's the difference between a refugee and e.t. e.t. learned english and wanted to go home."""
59743,gas yourself
59761,we all promised that we would never let them be forgotten yet we are putting them in power to invade
59784,if people reject me because i stand on the truth then i have no problem walking alone
59801,when the kush so good you lose chromosomes
59806,"on tuesday, november 3, 2020, we make america great again  by voting this nightmare out of office!"
59812,adult peer pressure: seeing your neighbor mowing their yard
59817,puttinging bows on your pet
59824,"wait, mohammad come back!!  i didn't mean to laugh, really size doesn't matter to me lol"
59832,"The text in the image reads:  ""how black people became christians"""
59837,your purchase of $19.99 comes to $21.36  after theft
59840,The text in the image is:  - hunger games - he's winning
59862,It isn't islamophobia when they really are trying to kill you
59863,when you find your  best goat mating with the neighborhood runt
59864,that's a nice turkey sandwich it's ha'am!
59871,no more excuses european americans are generational squatters
59876,"why does a bride wear white? to match the dishwasher, stove and fridge"
60128,don't know how to deal with black people  but i guess i'll take a shot at it
60132,most of ya'lls baby dads look like this and it shows
60134,if a dike started dating a tranny god can't be mad  because it's still a relationship between a man and a woman
60142,excuse me?!? it is ma'am! ma'am! i will take you outside and show you a sir!
60143,every day you spent home sick from school  the price is right  was spent with bob
60147,meditation before going to school
60173,"white people dont shoot eachother in the streets like black people do we do it in schools, because we have class"
60175,we are never going to have social change until  take personal responsibility for our own lives and participate in our communities
60183,nein danke  i'm very happy with my gas supplier
60185,when someone asks me how many chromosomes i have  more than you
60193,would ya look at that this dryer comes with a free dishwasher
60197,what if i told you it's racist to assume white people are racist
60213,then he said i couldn't come to the barbecue because i always burn the franks
60214,transgender nibbas waiting for the signal light to turn red so they can start begging
60215,truth be told the real reason for racism
60234,"clown bait at its finest  ""trumps economy is so bad that truck drivers have to buy their own trucks"" stacey abrams ""democrat response"""
60235,"The text in the image says:  ""no samuel, the star does not mean you're sheriff now"""
60238,dark humor is like good food not everyone deserve it ;
60249,when nazi germany would have won WW2 would there be a burger named mchitler?
60254,"the best thing you can do is find a person who loves you for exactly what you are  good mood, bad mood, ugly, pretty, handsome what have you  the right person is still gonna think the sun shines out of your ass."
60257,every man needs a decent coffee maker
60289,if you ever feel down  just remember there are people that are down their whole life
60314,"yeah, i'm into fitness  fitness whole pizza in my mouth"
60317,when your goat hits your g-spot
60329,we swore we'd never forget 911
60345,when her head game so strong  she suck a chromosome right out of you
60348,my first act? getting rid of our low unemployment rates
60357,"kenyans are like sheep, leading them from the hague is like chewing gum while climbing downstairs, easy!  come baby, come!!! let's chew gum together.."
60371,after group sex mohammed is very tired
60374,"i don't always wag my tail, but when i do  i try to hit everything i can with it."
60379,"after i say ""whatever""  all the shit you say after that is irrelevant"
60384,"The text in the image reads:  ""why is the first one not judged but the second one offends? nuns don't randomly explode"""
60389,you don't like thick girls? fuck wrong with you?
60398,i should not be expected to pledge allegiance to any country including america dem representative ilhan omar quote
60421,if you're protesting against this man visiting the uk...  ...but protesting for this woman to return to the uk...  ...then you're practicing your freedom of speech
60427,i hope both teams lose  Grumpy Cats WORST CATS EVER
60439,over 620 000 white people died to free black slaves  so please lets cut the bullshit out - jf16
60451,i love the smell of a dirty tranny... relax adam...let joe smell your schiff!!
60478,"""I hate the word homophobia it's not a phobia why would I be scared of a faggot?"""
60483,the look he gives you when you're the new goat in town
60487,Imagine a world with no Muslims...  just imagine that peace
60513,what do you call double stacked ovens? jewish bunk beds
60532,i sold all your games  because i'm the only thing you need
60538,how they see themselves how god sees them!
60539,"The text in the image reads:  ""mandatory vaccinations "" no exemptions"""
60541,when a white kid shoots up the school the same day you planned to bomb it
60549,trump better deal with these muslims before they kill me
60571,when you shit an anaconda  and feel the last inch disconnect from your soul
60573,only about time i make it as a character  on street fighter
60578,send me sexy pic
60592,It's hard to be first class when you're white trash
60598,jews: exsist hitler: it'd be a lot cooler if you didn't
60718,do i have to unbury hitler so he can show you how a fucking oven works?!?!
60721,when you see the gas bill
60729,muslims treat women like dogs & liberals don't dare speak up they're too busy bashingin christians
60732,I'm not saying shes a slag but she's seen more japseyes than an asian optician
60739,sea monkeys
60741,most of our clothes come from this
60758,thankfully youtube blocked those videos to show their support for muslim people
60759,you see this pig? it's called muhammad
60785,the cast of the view  heading out to protest trump
60789,"musslamic democrat, ilhan omar, has threatened members of congress  she's's told several republicans that she'll send them ""shawarma"" to ""give them a taste of her culture"" share to say arrest her now!"
60794,what every muslim looks like to me
60798,sunday family fun day!
60812,when you're thinking about how much you love your wife and kids
60823,why are we smart? because we went to camps!
60827,people tragically jumping to their death during the 9/11 terrorist attacks
60829,making mashed potatoes
60839,when each letter is a mental disorder
60841,why do jewish men like to watch porn movies backwards? they like the part where the hooker gives the money back
60892,49 people were killed at christchurch muslim  49 people were killed at christchurch mosques muslim
