id,path,prediction,text
1235,img/01235.png,1,when you're feeling horny asf but your habibi is on periods let's try a goat
1236,img/01236.png,0,meanwhile at the isis strip club
1243,img/01243.png,0,"when your human says ""who' s a good girl?"" and you already know it's you"
1245,img/01245.png,1,and that was the last nativity play my son was invited to take part in
1247,img/01247.png,1,you can't be racist if there is no other race
1256,img/01256.png,1,when your debit card decline at the abortion clinic and they have to put the baby back in
1258,img/01258.png,0,ladies! if your man is offended by this he is a faggot. end of story
1264,img/01264.png,0,you're a special kinda nuts aren't you?
1269,img/01269.png,1,kermit the frog definitely not a muslim
1274,img/01274.png,0,how you guys think you looks like but when pados wale pandit jee sees you taba renso
1275,img/01275.png,0,if you think t willl stop eating palony and viannas voetsek!!! stupid no brain here
1276,img/01276.png,0,a smile is worth a thousand words
1293,img/01293.png,0,when you forget to wash your hands
1295,img/01295.png,1,"men wearing dresses and molesting our children? the word you're looking for is clergy, not transgender"
1327,img/01327.png,0,"i'm not sick, i'm twisted sick makes it sound like there's a cure"
1329,img/01329.png,1,saddle up motherfuckers it's time to play cowboys
1348,img/01348.png,0,meanwhile at the isis strip club
1349,img/01349.png,1,girl you're so special i'm gonna give you a gold star
1379,img/01379.png,0,american teenage girl visiting the children of africa
1382,img/01382.png,0,my body my choice
1389,img/01389.png,0,confession-every sunday around brunch time i take my cat to the mall and make people take pictures of us
1392,img/01392.png,0,hello jesus thanks for making a way!
1395,img/01395.png,1,i just found out mexican babies come out just like the food
1423,img/01423.png,0,when you want to nap after a long day of mudding
1436,img/01436.png,1,when the school shooter accidently shoots the autistic kid but doesn't know that the tard strength makes him impervious to bullets
1439,img/01439.png,0,im long and strong and down to get the goat hump on
1452,img/01452.png,0,the feeling after a long day at work
1465,img/01465.png,0,there is difference between violating muslims and other muslims dont get confused
1467,img/01467.png,0,it's a great day to be a honky!
1468,img/01468.png,0,"assad: my son exploded better than yours, lol hamid:"
1469,img/01469.png,1,when you punch the muslim kid so hard that he starts having seizures and fucking dies the bomb has been defused
1472,img/01472.png,0,in my country this headdress is common to wear if you want to. here in other countries i am also free to wear it if i want to
1475,img/01475.png,1,last time muslims invaded europe vlad stuck poles up their asses and made a fucking forest be like vlad
1476,img/01476.png,0,im confident in my own skin
1483,img/01483.png,0,"feeling bored, let's go to a mosque"
1487,img/01487.png,1,when you forget you're retarded
1492,img/01492.png,0,i don't like the sun so i wear a visor
1497,img/01497.png,1,now back to the married islamic classic.. to children
1498,img/01498.png,0,democrats claim daca kids shouldn't have to pay for their parent's crimes... ...but white people are still responsible for 17th century slave owners??
1524,img/01524.png,1,when you catch your goat with another man
1526,img/01526.png,0,put the money in a bag. now! that will be $0.15
1527,img/01527.png,0,oh no i can't run anymore
1529,img/01529.png,0,acceptance of individuality is not a disgusting thing
1546,img/01546.png,1,kill the jews and muslims for being anti-white
1547,img/01547.png,0,how mexicans be like... when they hear their friends kid is having a birthday party
1548,img/01548.png,0,"what are they fighting over? is it: a) the last pan ducle b) he accidentally touch the homies hand passing a beer? c) foo used the last of the three flowers. d) homie said ""i got you on gas"" but he only has $3!"
1564,img/01564.png,0,puts on sunblock doesn't protect from harmful rays
1568,img/01568.png,1,do you think a terrorist has or could infiltrate our goverment ???
1569,img/01569.png,0,when you can't decide to pre heat the oven or just throw the meal in right away
1576,img/01576.png,0,when your ex ask you for help
1578,img/01578.png,1,sea monkeys
1579,img/01579.png,1,"muslim figure: ""we must have pork-free menus or we will leave u.s"" bacon america great again!"
1589,img/01589.png,1,has an orgasm... ...shoots out tranny fluid
1598,img/01598.png,1,men are like dogs we're excited to see you... and have no clue what you're mad about
1637,img/01637.png,1,this time jesus you're not getting away
1642,img/01642.png,1,this would be racist if black people could read
1643,img/01643.png,0,i'm not a racist my shadow is black
1649,img/01649.png,1,american cops when they graduate police academy let the black man come forth! let murder be done upon him!
1653,img/01653.png,0,"a girl asks her mom, ""why am i black and you're white?"" she says, ""the way that party went, you're lucky you don't bark. """
1658,img/01658.png,0,first rule of fight club.
1672,img/01672.png,0,when the new call of duty comes out and you're already camping
1682,img/01682.png,1,fuck allah fuck islam and guck the child raper muhammad and yes that's pork in the quran
1694,img/01694.png,0,which one should we butcher first
1698,img/01698.png,1,this guy cut her head off workplace violence my ass
1734,img/01734.png,0,and that was the last time we let uncle larry babysit
1736,img/01736.png,0,korean war soldiers come home msnbc no live coverage cnn 58 seconds nbc no coverage abc 24 seconds cbc no coverage share if they should be ashamed
1743,img/01743.png,0,sen mitt romney wall declaration let's make this his last term wwg1wga! utah voted against trumps emergency
1746,img/01746.png,0,everyone told me you gonna be a blessing
1749,img/01749.png,0,so then we told them cannabis is dangerous and pharmaceuticals are good for you
1756,img/01756.png,0,she is a fast runner
1763,img/01763.png,0,want a spin ?
1793,img/01793.png,1,don't mind me i'm only watering my muslims
1794,img/01794.png,1,i beat children
1823,img/01823.png,0,i too was once a male trapped in a female's body but then i was born
1827,img/01827.png,0,if your man is offended by this then he's never been hunting
1829,img/01829.png,0,him: the dishwasher is acting weird her: what's it doing him: chopping fucking vegetables
1835,img/01835.png,0,that makes my lady junk tingle
1842,img/01842.png,0,it's a wiener pit kinda like your mouth
1845,img/01845.png,0,when you consume too much trans fat
1854,img/01854.png,1,goes for when an indian walk with his dog
1875,img/01875.png,0,does anyone know if he had a donor card? i need parts for my go-cart
1892,img/01892.png,0,i did not divide the country the republican decision to obstruct every single thing i proposed to help us dig out of the financial crisis they caused divided the country
1894,img/01894.png,0,we haven't t seen any new jesus appearances on pancakes in a while i hope he's okay
